date,location_name,iso2_code,target_group,dose,doses_administered
2023-12-31,Italy,IT,Age60_69,,169330
2023-12-31,Liechtenstein,LI,Age60_69,,45
2023-12-31,Lithuania,LT,Age60_69,,5832
2023-12-31,Luxembourg,LU,Age60_69,,1058
2023-12-31,Malta,MT,Age60_69,,163
2023-12-31,Netherlands,NL,Age60_69,,163662
2023-12-31,Norway,NO,Age60_69,,17324
2023-12-31,Poland,PL,Age60_69,,99256
2023-12-31,Portugal,PT,Age60_69,,47351
2023-12-31,Sweden,SE,Age60_69,,98746
2023-12-31,Slovenia,SI,Age60_69,,1452
2023-12-31,Slovakia,SK,Age60_69,,551
2023-12-31,Belgium,BE,Age70_79,,10583
2023-12-31,Bulgaria,BG,Age70_79,,1292
2023-12-31,Cyprus,CY,Age70_79,,206
2023-12-31,Czechia,CZ,Age70_79,,12876
2023-12-31,Denmark,DK,Age70_79,,16703
2023-12-31,Estonia,EE,Age70_79,,3209
2023-12-31,Greece,GR,Age70_79,,21611
2023-12-31,Spain,ES,Age70_79,,151464
2023-12-31,Finland,FI,Age70_79,,74247
2023-12-31,France,FR,Age70_79,,344856
2023-12-31,Hungary,HU,Age70_79,,2117
2023-12-31,Ireland,IE,Age70_79,,16411
2023-12-31,Iceland,IS,Age70_79,,1616
2023-12-31,Italy,IT,Age70_79,,267764
2023-12-31,Liechtenstein,LI,Age70_79,,58
2023-12-31,Lithuania,LT,Age70_79,,2289
2023-12-31,Luxembourg,LU,Age70_79,,1060
2023-12-31,Malta,MT,Age70_79,,314
2023-12-31,Netherlands,NL,Age70_79,,204650
2023-12-31,Norway,NO,Age70_79,,19180
2023-12-31,Poland,PL,Age70_79,,124236
2023-12-31,Portugal,PT,Age70_79,,36720
2023-12-31,Sweden,SE,Age70_79,,97431
2023-12-31,Slovenia,SI,Age70_79,,2034
2023-12-31,Slovakia,SK,Age70_79,,737
2023-12-31,Belgium,BE,Age80+,,4928
2023-12-31,Bulgaria,BG,Age80+,,607
2023-12-31,Cyprus,CY,Age80+,,107
2023-12-31,Czechia,CZ,Age80+,,6042
2023-12-31,Denmark,DK,Age80+,,10322
2023-12-31,Estonia,EE,Age80+,,2425
2023-12-31,Greece,GR,Age80+,,12954
2023-12-31,Spain,ES,Age80+,,87272
2023-12-31,Finland,FI,Age80+,,36822
2023-12-31,France,FR,Age80+,,236475
2023-12-31,Hungary,HU,Age80+,,817
2023-12-31,Ireland,IE,Age80+,,8311
2023-12-31,Iceland,IS,Age80+,,501
2023-12-31,Italy,IT,Age80+,,251818
2023-12-31,Liechtenstein,LI,Age80+,,31
2023-12-31,Lithuania,LT,Age80+,,1650
2023-12-31,Luxembourg,LU,Age80+,,816
2023-12-31,Malta,MT,Age80+,,582
2023-12-31,Netherlands,NL,Age80+,,32327
2023-12-31,Norway,NO,Age80+,,10132
2023-12-31,Poland,PL,Age80+,,42780
2023-12-31,Portugal,PT,Age80+,,23508
2023-12-31,Sweden,SE,Age80+,,41693
2023-12-31,Slovenia,SI,Age80+,,1602
2023-12-31,Slovakia,SK,Age80+,,236
2023-12-31,Bulgaria,BG,AgeUNK,,0
2023-12-31,Estonia,EE,AgeUNK,,1
2023-12-31,Greece,GR,AgeUNK,,0
2023-12-31,Spain,ES,AgeUNK,,0
2023-12-31,Finland,FI,AgeUNK,,0
2023-12-31,Hungary,HU,AgeUNK,,0
